_path,ts,ts_delta,peer,gaps,acks,percent_lost,mem,pkts_proc,bytes_recv,pkts_dropped,pkts_link,pkt_lag,events_proc,events_queued,active_tcp_conns,active_udp_conns,active_icmp_conns,tcp_conns,udp_conns,icmp_conns,timers,active_timers,files,active_files,dns_requests,active_dns_requests,reassem_tcp_size,reassem_file_size,reassem_frag_size,reassem_unknown_size,fuid,tx_hosts,rx_hosts,conn_uids,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,proto,service,orig_bytes,resp_bytes,conn_state,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,geo.orig.country_code,geo.orig.region,geo.orig.city,geo.orig.latitude,geo.orig.longitude,geo.resp.country_code,geo.resp.region,geo.resp.city,geo.resp.latitude,geo.resp.longitude,community_id,cipher,curve,server_name,resumed,last_alert,next_protocol,established,cert_chain_fuids,client_cert_chain_fuids,subject,issuer,client_subject,client_issuer,validation_status,ja3,ja3s,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,event_type,src_ip,src_port,dest_ip,dest_port,vlan,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth
conn,2023-11-25T18:41:03.397687Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.897ms,,,,,,,,,,,,,,,CPRub04Oh2vYKJpbij,192.168.169.135,52992,34.149.100.209,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,77,0,SF,,0,DaFfA,4,237,4,160,,,,,,,US,,,37.751,-97.822,1:QRw8H87oUMebyTmdhQ73sQBoDBU=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssl,2023-11-25T18:41:01.501056Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CyUCOb4L1PfMmE9mZ2,192.168.169.135,58404,34.117.237.239,443,,,,,,TLSv13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLS_AES_128_GCM_SHA256,x25519,contile.services.mozilla.com,true,,,true,,,,,,,,c279b0189edb9269da7bc43dea5e0c36,2b0648ab686ee45e0e7c35fcfb0eea7e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:01.474116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1m57.851531s,,,,,,,,,,,,,,,CyUCOb4L1PfMmE9mZ2,192.168.169.135,58404,34.117.237.239,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,ssl,1278,2685,S1,,0,ShADad,16,1938,17,3369,,,,,,,US,MO,Kansas City,39.1028,-94.5778,1:8lRNBA5XVV64+QCUecdy4DaP+Vc=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:01.441278Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.68ms,,,,,,,,,,,,,,,Cg7XHZ31ou9UDrveNf,192.168.169.135,55699,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,dns,46,62,SF,,0,Dd,1,74,1,90,,,,,,,,,,,,1:QEk7h1/zREuHzRD2rFPFapp8Q74=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-11-25T18:41:01.441278Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cg7XHZ31ou9UDrveNf,192.168.169.135,55699,192.168.169.2,53,,,,,,,,,,,,,,,,,,,,,,,,,udp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8459,25.68ms,contile.services.mozilla.com,1,C_INTERNET,1,A,0,NOERROR,false,false,true,true,0,"[""34.117.237.239""]",[5s],false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:41:00.392757Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.223ms,,,,,,,,,,,,,,,CTtAo03jAQhgX3551g,192.168.169.135,56972,34.160.144.191,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,77,0,SF,,0,DFafA,4,237,4,160,,,,,,,US,,,37.751,-97.822,1:ZMW6sYPD01atq6lwgfoWcK32phg=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:40:56.386492Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.502ms,,,,,,,,,,,,,,,CF9OJo3PWz56NqcOsd,192.168.169.135,43938,35.244.181.201,443,,,,,,,,,,,,,,,,,,,,,,,,,tcp,,77,0,SF,,0,DaFfA,4,237,4,160,,,,,,,US,MO,Kansas City,39.1028,-94.5778,1:n2oHei4HqYcewoURf5JQvV2dnkc=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:40:47.257475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCmT7AQrzGc4cIsd7,fe80::f4a5:6fee:9e5:18f2,133,ff02::2,134,,,,,,,,,,,,,,,,,,,,,,,,,icmp,,,,OTH,,0,,1,48,0,0,,,,,,,,,,,,1:pHn9BY8IyNlt+h+YLASPubRz/sQ=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stats,2023-11-25T18:40:45.449993Z,,zeek,,,,0,1,86,,,,424,12,0,0,1,0,0,1,42,36,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn,2023-11-25T18:40:45.449993Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CdCXcMlkD4I6uGG91,fe80::8615:1c35:aa8:3f74,135,ff02::1:ff6c:ae6a,136,,,,,,,,,,,,,,,,,,,,,,,,,icmp,,,,OTH,,0,,1,72,0,0,,,,,,,,,,,,1:Xv8tSW9Z9eKJl3Q3MO4QbmK9qVk=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
